,is_best_tree
410,1
1105,0
1096,0
1068,0
938,0
728,0
657,0
294,0
794,0
805,0
162,0
1194,0
1169,0
982,0
587,0
829,0
213,0
1140,0
917,0
342,0
747,0
417,0
282,0
765,1
950,0
